productExternalId,productName,productDescription,category,subcategory,businessModel.type,businessModel.price,businessModel.currency,imageUrl,inStock,sizes,colors,brand,region,hasWarranty,groupset,brakes,frameMaterial,wheelSize,suspension,weight,category1,category2,category3
CANYON-001,Canyon Aeroad CFR,The ultimate aero road bike. Aerodynamics meets lightweight construction for maximum performance on the road.,Road,Aero,Bike,8999,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Stealth,Red,White",Canyon,GLOBAL,true,Shimano Dura-Ace Di2,Disc Hydraulic,Carbon,700c,None,6.8,Aero,Canyon,Road
CANYON-002,Canyon Ultimate CF SLX,Lightweight climbing road bike for mountain riders. Carbon frame with perfect balance of stiffness and comfort.,Road,Climbing,Bike,6499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Black,Blue,Yellow",Canyon,GLOBAL,true,Shimano Ultegra Di2,Disc Hydraulic,Carbon,700c,None,7.2,Climbing,Canyon,Road
CANYON-003,Canyon Endurace CF SL,Long-distance road bike for comfort on extended tours. Endurance geometry for relaxed riding.,Road,Endurance,Bike,4299,EUR,/images/sap_logo.png,true,"2XS,XS,S,M,L,XL,2XL","Grey,Green,Orange",Canyon,GLOBAL,true,Shimano 105 Di2,Disc Hydraulic,Carbon,700c,None,8.1,Endurance,Canyon,Road
CANYON-004,Canyon Speedmax CF SLX,Triathlon and time trial bike. UCI-compliant with integrated hydration system and optimal aerodynamics.,Road,Triathlon,Bike,7999,EUR,/images/sap_logo.png,true,"XS,S,M,L","Black,Red",Canyon,GLOBAL,true,Shimano Dura-Ace Di2,Disc Hydraulic,Carbon,700c,None,7.9,Triathlon,Canyon,Road
CANYON-005,Canyon Grail CF SLX,Premium gravel bike for off-road adventures. Versatile for gravel forest trails and tarmac.,Gravel,All-Road,Bike,5999,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Sand,Forest,Black",Canyon,GLOBAL,true,SRAM Force AXS,Disc Hydraulic,Carbon,700c,None,8.0,All-Road,Canyon,Gravel
CANYON-006,Canyon Grizl CF SL,Bikepacking-optimized gravel bike with numerous mounting points for long tours.,Gravel,Bikepacking,Bike,4499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Olive,Blue,Grey",Canyon,GLOBAL,true,Shimano GRX Di2,Disc Hydraulic,Carbon,700c,None,8.5,Bikepacking,Canyon,Gravel
CANYON-007,Canyon Spectral 125 CF,Trail mountain bike with 125mm travel. Perfect for flowy trails and technical passages.,MTB,Trail,Bike,4999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Purple,Mint,Black",Canyon,GLOBAL,true,SRAM GX Eagle AXS,Disc Hydraulic,Carbon,29in,Full 125mm,13.2,Trail,Canyon,MTB
CANYON-008,Canyon Strive CFR,Enduro race bike with Shapeshifter technology. World Cup tested for aggressive descents.,MTB,Enduro,Bike,7499,EUR,/images/sap_logo.png,true,"S,M,L,XL","Orange,Black,White",Canyon,GLOBAL,true,SRAM X01 Eagle AXS,Disc Hydraulic,Carbon,29in,Full 160mm,14.1,Enduro,Canyon,MTB
CANYON-009,Canyon Torque CF,Freeride mountain bike for parks and extreme trails. 180mm travel for maximum fun.,MTB,Freeride,Bike,5999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Red,Black",Canyon,GLOBAL,true,SRAM GX Eagle,Disc Hydraulic,Carbon,27.5in,Full 180mm,15.0,Freeride,Canyon,MTB
CANYON-010,Canyon Lux World Cup CFR,XC race bike for competitions. Ultra-light and stiff for maximum efficiency on the racecourse.,MTB,Cross-Country,Bike,8499,EUR,/images/sap_logo.png,true,"S,M,L","Red,White,Black",Canyon,GLOBAL,true,SRAM XX Eagle AXS,Disc Hydraulic,Carbon,29in,Full 100mm,9.8,Cross-Country,Canyon,MTB
CANYON-011,Canyon Neuron CF,All-mountain bike with 130mm travel. Versatile for uphills and downhills.,MTB,All-Mountain,Bike,4299,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Teal,Grey,Black",Canyon,GLOBAL,true,Shimano XT,Disc Hydraulic,Carbon,29in,Full 130mm,13.0,All-Mountain,Canyon,MTB
CANYON-012,Canyon Roadlite CF,Fitness bike for city and touring. Light and fast with upright riding position.,Urban,Fitness,Bike,2499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Silver,Black,White",Canyon,EMEA,true,Shimano 105,Disc Hydraulic,Carbon,700c,None,8.9,Fitness,Canyon,Urban
CANYON-013,Canyon Commuter,Urban commuter bike for the daily ride to work. Fenders and lights included.,Urban,Commuter,Bike,1899,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Grey,Blue,Black",Canyon,EMEA,true,Shimano Nexus 8,Disc Hydraulic,Aluminium,700c,None,12.5,Commuter,Canyon,Urban
CANYON-014,Canyon Precede:ON CF,Premium e-bike for urban mobility. Fazua motor for a natural riding feel.,E-Bike,Urban,Bike,4999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Black,White,Blue",Canyon,EMEA,true,Shimano 105 Di2,Disc Hydraulic,Carbon,700c,None,14.2,Urban,Canyon,E-Bike
CANYON-015,Canyon Spectral:ON CF,E-MTB for trail riders. Shimano EP8 motor for powerful uphill assistance.,E-Bike,E-MTB,Bike,6999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Green,Black,Orange",Canyon,GLOBAL,true,Shimano XT,Disc Hydraulic,Carbon,29in,Full 150mm,22.5,E-MTB,Canyon,E-Bike
CANYON-016,Canyon Endurace:ON CF,E-road bike for long tours. Discreet motor for natural pedal assistance.,E-Bike,E-Road,Bike,5499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Grey,Black,Red",Canyon,GLOBAL,true,Shimano Ultegra Di2,Disc Hydraulic,Carbon,700c,None,12.8,E-Road,Canyon,E-Bike
CANYON-017,Canyon Pathlite:ON,Trekking e-bike for touring and everyday use. Bosch motor with long range.,E-Bike,E-Trekking,Bike,3999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Brown,Black,Grey",Canyon,EMEA,true,Shimano Deore,Disc Hydraulic,Aluminium,700c,Front 80mm,25.0,E-Trekking,Canyon,E-Bike
CANYON-018,Canyon Kids Bike 20,Kids mountain bike with 20-inch wheels. Light and sturdy for young riders.,Kids,MTB Kids,Bike,599,EUR,/images/sap_logo.png,true,20,"Red,Blue,Green",Canyon,GLOBAL,false,Shimano 7-Speed,V-Brake,Aluminium,20in,Front 50mm,9.5,MTB Kids,Canyon,Kids
CANYON-019,Canyon Kids Bike 24,Kids mountain bike with 24-inch wheels. Perfect for young teenagers.,Kids,MTB Kids,Bike,799,EUR,/images/sap_logo.png,true,24,"Purple,Orange,Black",Canyon,GLOBAL,false,Shimano 9-Speed,Disc Mechanical,Aluminium,24in,Front 60mm,11.2,MTB Kids,Canyon,Kids
CANYON-020,Canyon Exceed CF,Hardtail XC bike for efficient riding. Light and direct for race use.,MTB,Hardtail,Bike,3499,EUR,/images/sap_logo.png,true,"S,M,L,XL","Blue,Black,Yellow",Canyon,GLOBAL,true,Shimano XT,Disc Hydraulic,Carbon,29in,Front 100mm,9.9,Hardtail,Canyon,MTB
ACC-001,Canyon Aero Helmet,Aerodynamic road helmet with MIPS technology. Wind tunnel optimized.,Accessories,Helmets,Accessory,299,EUR,/images/sap_logo.png,true,"S,M,L","White,Black,Red",Canyon,GLOBAL,true,,,,,,,,Helmets,Canyon,Accessories
ACC-002,Canyon MTB Helmet,Trail helmet with extended rear head protection. Lightweight and well-ventilated.,Accessories,Helmets,Accessory,179,EUR,/images/sap_logo.png,true,"S,M,L","Black,Blue,Green",Canyon,GLOBAL,true,,,,,,,,Helmets,Canyon,Accessories
ACC-003,Canyon Pro Bib Shorts,Premium bib shorts with chamois padding. Compression and comfort for long rides.,Apparel,Shorts,Apparel,189,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Black,Navy",Canyon,GLOBAL,false,,,,,,,,Shorts,Canyon,Apparel
ACC-004,Canyon Aero Jersey,Aerodynamic short-sleeve jersey. Breathable and quick-drying.,Apparel,Jerseys,Apparel,129,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Red,Blue,White,Black",Canyon,GLOBAL,false,,,,,,,,Jerseys,Canyon,Apparel
ACC-005,Canyon Winter Jacket,Wind-resistant winter jacket for cold days. Thermoregulating and water-repellent.,Apparel,Jackets,Apparel,249,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Black,Orange,Grey",Canyon,GLOBAL,false,,,,,,,,Jackets,Canyon,Apparel
ACC-006,Canyon Gravel Gloves,Full-finger gloves for gravel adventures. Padding and grip.,Apparel,Gloves,Apparel,59,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Black,Brown,Olive",Canyon,GLOBAL,false,,,,,,,,Gloves,Canyon,Apparel
ACC-007,Canyon Carbon Wheels,Lightweight carbon wheelset for road bikes. Aerodynamic and stiff.,Components,Wheels,Component,1999,EUR,/images/sap_logo.png,true,"Disc,Rim",Black,Canyon,GLOBAL,true,,,,,,,,Wheels,Canyon,Components
ACC-008,Canyon Saddle Pro,Ergonomic performance saddle. Carbon shell with pressure relief.,Components,Saddles,Component,249,EUR,/images/sap_logo.png,true,"143mm,155mm","Black,White",Canyon,GLOBAL,true,,,,,,,,Saddles,Canyon,Components
ACC-009,Canyon Water Bottle 750ml,Water bottle with squeeze cap. BPA-free and dishwasher safe.,Accessories,Bottles,Accessory,15,EUR,/images/sap_logo.png,true,750ml,"Clear,Black,Red",Canyon,GLOBAL,false,,,,,,,,Bottles,Canyon,Accessories
ACC-010,Canyon Bikepacking Bags Set,Complete bikepacking bag set. Handlebar frame and saddle bag.,Accessories,Bags,Accessory,299,EUR,/images/sap_logo.png,true,Standard,"Black,Olive",Canyon,GLOBAL,false,,,,,,,,Bags,Canyon,Accessories
