id;productName;productDescription;category;subcategory;price;currency;imageUrl;inStock;sizes;colors;brand;productType;region;lastUpdated;groupset;brakes;frameMaterial;wheelSize;suspension;weight;hasWarranty
CANYON-001;Canyon Aeroad CFR AXS;Top aero road bike with SRAM Red AXS for maximum speed on the road.;Road;Aero;8999;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/f_auto/q_auto/v1750063987/2026_FULL_aeroad_cfr-axs_4040_R108_P01_n51lb9;true;XS,S,M,L,XL;Sparkle Stealth,Canyon SRAM Racing,Movistar;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Red AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-002;Canyon Aeroad CFR Di2;Top aero road bike with Shimano Dura-Ace Di2 for ultimate performance.;Road;Aero;8999;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1749831869/2026_FULL_aeroad_cfr-di2_4039_R108_P01_bh6wi2;true;XS,S,M,L,XL;Sparkle Stealth,Alpecin Deceuninck;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Dura-Ace Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-003;Canyon Aeroad CF SLX 7 Di2;Aero road bike with Shimano 105 Di2 and DT Swiss ARC 1600 wheels.;Road;Aero;4499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1749041394/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P01_uyistz;true;XS,S,M,L,XL,2XL;Midnight Blaze,Crystal White,Burnt Sugar;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-004;Canyon Aeroad CF SLX 8 AXS;Aero road bike with SRAM Force AXS and integrated powermeter.;Road;Aero;6499;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1748348307/2026_FULL_aeroad_cf-slx-8-axs_4037_R107_P04_fxps1y;true;XS,S,M,L,XL;Crystal White,Kaze,Midnight Blaze;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Force AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-005;Canyon Ultimate CF SLX 8 Di2;Lightweight race bike with Shimano Ultegra Di2 and powermeter.;Road;Race;5499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1738924685/2026_FULL_ultimate_cf-slx-8-di2_4066_R100_P08_altcgg;true;XS,S,M,L,XL;Metallic Black,Metallic Acid;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Ultegra Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-006;Canyon Endurace CF SLX 8 Di2;Endurance road bike with Shimano Ultegra Di2 for long rides.;Road;Endurance;4999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1752766604/2026_FULL_endurace_cf-slx-8-di2_4277_R077_P11_vtsxva;true;2XS,XS,S,M,L,XL,2XL;Chrome Whisper,Obsidian Bloom;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Ultegra Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-007;Canyon Endurace CF 7 AXS;Endurance road bike with SRAM Rival AXS and powermeter.;Road;Endurance;2699;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1733934798/1254C816-3343-4F48-902288D0C98C843B;true;2XS,XS,S,M,L,XL,2XL;Black Moon,Lillet Grey;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Rival AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-008;Canyon Endurace CF 6;Entry-level endurance road bike with Shimano Tiagra groupset.;Road;Endurance;1799;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1744104233/2026_FULL_endurace_cf-6_4273_R076_P09_mkth9v;true;2XS,XS,S,M,L,XL,2XL;Black Moon;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Tiagra;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-009;Canyon Speedmax CF SLX 7 Di2;Triathlon time trial bike with Shimano 105 Di2.;Road;Triathlon;6999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1751441691/2026_FULL_speedmax_cf-slx-7-di2_4253_R091_P12_uq4jrr;true;S,M,L,XL;Bronze,Pure White,Phantom Black;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-010;Canyon Speedmax CF 7 Di2 Race;Triathlon bike with integrated hydration system and powermeter.;Road;Triathlon;4999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1754289490/2026_FULL_speedmax_cf-7-di2-race_4137_R073_P11_nutrab;true;S,M,L,XL;Black Mirage,Spirit Moon;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-011;Canyon Grail CF 7;Race gravel bike with Shimano GRX RD-RX820 12-speed groupset.;Gravel;Race;2199;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1746608737/2026_FULL_grail_cf-sl-7_4149_R119_P04_hoppzj;true;XS,S,M,L,XL,2XL;White Sprint,Blazing Mustard;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano GRX RD-RX820;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-012;Canyon Grail CF SLX 8 Di2 RS;Race gravel bike with Shimano GRX Di2 and powermeter.;Gravel;Race;4499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1747720660/2026_FULL_grail_cf-slx-8-di2_4474_R120_P05_zozyec;true;XS,S,M,L,XL;Chrome Whisper,Obsidian Bloom,Gravel Noir;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano GRX Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-013;Canyon Grail CFR AXS;Top-tier gravel race bike with SRAM RED XPLR AXS and powermeter.;Gravel;Race;7499;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/f_auto/q_auto/v1747062495/2026_FULL_grail_cfr-axs_4152_R121_P05_ytrerq;true;XS,S,M,L,XL;Arctic Noir,Amethyst Shade;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM RED XPLR AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-014;Canyon Grizl 7;Adventure gravel bike with aluminium frame and Shimano GRX.;Gravel;Adventure;1799;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1729238173/2024_FULL_grizl_7_3715_R075_P06_c1273z;true;XS,S,M,L,XL,2XL;Darjeeling,Affogato;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano GRX RD-RX820;Disc Hydraulic;Aluminium;700c;None;7;true
CANYON-015;Canyon Grizl CF 7;Adventure gravel bike with carbon frame and Shimano GRX.;Gravel;Adventure;2499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1750252688/2026_FULL_grizl_cf-7_4167_R126_P01_ti4kcf;true;XS,S,M,L,XL,2XL;Pineapple Gummy,Lavender Gelato;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano GRX RD-RX822;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-016;Canyon Grizl:ONfly CF Daily;E-gravel bike with Bosch Performance Line SX motor and 400 Wh battery.;E-Bike;E-Gravel;5499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1733937527/AFA7CAE1-46E9-47CE-99038B669DECE440;true;S,M,L,XL;Deep Ocean;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano GRX RD-RX822;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-017;Canyon Neuron CF 8;Trail MTB with 140mm travel for all-round trail riding.;MTB;Trail;3499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1756977372/2025_FULL_neuron-on-fly_cf-8_4061_M166_P01_skhuru;true;S,M,L,XL;Teal,Grey,Black;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano SLX;Disc Hydraulic;Carbon;29in;Full 140mm;7;true
CANYON-018;Canyon Lux World Cup CF 7;XC race bike for hard racing and marathon events.;MTB;Cross-Country;4499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1730986232/2025_FULL_lux-wc_cf-7_3997_M115_P01_blinze;true;S,M,L;Red,White,Black;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano XT;Disc Hydraulic;Carbon;29in;Full 100mm;7;true
CANYON-019;Canyon Spectral:ON CF 7;E-MTB with Shimano EP8 motor for long trail tours.;E-Bike;E-MTB;5999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1733938292/75A1DAEF-93D6-4AE2-B3EBAA86EDB90745;true;S,M,L,XL;Green,Black,Orange;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Deore;Disc Hydraulic;Carbon;29in;Full 150mm;7;true
CANYON-020;Canyon Roadlite CF 8;Fitness bike for fast daily rides with sporty riding position.;Urban;Fitness;1999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1761131838/2023_FULL_roadlite_cf-8_3294_R058_P01_jobtjh;true;XS,S,M,L,XL,2XL;Silver,Black,White;Canyon;Bike;EMEA;2026-02-04T21:00:00Z;Shimano 105;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-021;Canyon Commuter 7;Urban commuter bike with lights and fenders for daily use.;Urban;Commuter;1699;EUR;https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw91237b3a/images/full/full_2021_/2021/full_2021_2925_commuter-wmn-al-7_bk_P5.jpg?sw=1300&sfrm=png&q=90&bgcolor=F2F2F2;true;XS,S,M,L,XL;Grey,Blue,Black;Canyon;Bike;EMEA;2026-02-04T21:00:00Z;Shimano Nexus 8;Disc Hydraulic;Aluminium;700c;None;7;true
CANYON-022;Canyon Endurace:ONfly CF 6;E-road bike with Bosch Performance Line SX motor and 400 Wh battery.;E-Bike;E-Road;4499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1746168421/2025_FULL_endurace-on-fly_cf-6_4043_R137_P01_uc2vyv;true;S,M,L,XL;Stealth;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Tiagra;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-023;Canyon Tempr CFR Road Shoes;Premium road cycling shoes with CFR technology for maximum performance.;Apparel;Shoes;299.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1721861835/1FD64B22-B73E-475D-8550E31FAEAAC8FB;true;38,39,40,41,42,43,44,45,46,47;White,Black;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;7;true
CANYON-024;Canyon Disruptr CFR Helmet;Aero road helmet with MIPS technology and free rear light included.;Apparel;Helmets;199.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1725378662/FF64BF71-A52F-481E-B74AF851119D611D;true;S,M,L;White,Black,Grey;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;true
CANYON-025;Canyon Scampr Trail Shoes;MTB trail shoes for flat pedals and technical terrain.;Apparel;Shoes;159.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1728471863/2024_FULL_Apparel_Canyon-SCAMPR-Shoes_9102258_bk_gyhisf;true;38,39,40,41,42,43,44,45,46;Black,Grey;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;true
CANYON-026;Canyon Tempr CFR Off-Road Shoes;Gravel and MTB shoes with Vibram sole for maximum grip.;Apparel;Shoes;299.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1721861835/1FD64B22-B73E-475D-8550E31FAEAAC8FB;true;38,39,40,41,42,43,44,45,46,47;White,Black,Grey;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;true
CANYON-027;Canyon Light Aero Cycling Socks;Aerodynamic cycling socks for race performance.;Apparel;Socks;19.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1721860916/8788C975-C532-47E9-A3B2D36669D1843B;true;36-39,40-43,44-47;White,Black;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;false
CANYON-028;Canyon CORE Men's Bibshort;Premium bib shorts with high-quality chamois padding.;Apparel;Shorts;109.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1747992050/2025_full_Apparel_Canyon-Core-Men_27s-Bibshorts_9102364_bk_front-view_iq48qr;true;XS,S,M,L,XL,XXL;Black;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;false
CANYON-029;Canyon Deflectr Helmet;MTB helmet with extended rear head protection and award-winning design.;Apparel;Helmets;159.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1761730910/2025_FULL_Apparel_CAYN-Canyon-Deflectr-Helmet-ORH01_9102440_bk_front-side_wmxq01;true;S,M,L;Matte Black,Metallic Olive,Desert;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;true
CANYON-030;Canyon Core Socks;Everyday cycling socks with Canyon logo branding.;Apparel;Socks;Sep 95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1721861709/9B87FA67-FA76-467E-9651581037DCA809;true;36-39,40-43,44-47;White,Black;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;false
CANYON-031;Canyon CORE Men's Road Jersey;Short-sleeve jersey made from breathable technical fabric.;Apparel;Jerseys;89.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1747992056/2025_full_Apparel_Canyon-Core-Men_27s-Cycling-Jersey_9102362_wh_front-view_fosvga;true;XS,S,M,L,XL,XXL;White,Black,Grey,Olive Night;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;false
CANYON-032;Canyon Stingr CFR Helmet;Premium aero road helmet with award-winning aerodynamics and MIPS.;Apparel;Helmets;249.95;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1725961521/6CF4DAE6-7572-4DDC-B3B41E3946B680C0;true;S,M,L;White,Black;Canyon;Apparel;GLOBAL;2026-02-04T21:00:00Z;;;;;;;true